,index,fname,roi
186,84,images (14)_grey.jpg,"{1: {'xmin': 193, 'xmax': 224, 'ymin': 115, 'ymax': 132, 'region_name': 1}}"
187,85,images (14)_grey_rot90.jpg,"{1: {'xmin': 77, 'xmax': 102, 'ymin': 128, 'ymax': 149, 'region_name': 1}}"
188,86,images (14)_grey_rot180.jpg,"{1: {'xmin': 51, 'xmax': 82, 'ymin': 51, 'ymax': 68, 'region_name': 1}}"
189,87,images (14)_grey_rot270.jpg,"{1: {'xmin': 173, 'xmax': 198, 'ymin': 34, 'ymax': 55, 'region_name': 1}}"
190,88,images (15)_darkened.jpg,"{1: {'xmin': 108, 'xmax': 159, 'ymin': 31, 'ymax': 63, 'region_name': 1}}"
191,89,images (15)_darkened_rot90.jpg,"{1: {'xmin': 175, 'xmax': 218, 'ymin': 81, 'ymax': 119, 'region_name': 1}}"
192,90,images (15)_darkened_rot180.jpg,"{1: {'xmin': 100, 'xmax': 151, 'ymin': 131, 'ymax': 163, 'region_name': 1}}"
193,91,images (15)_darkened_rot270.jpg,"{1: {'xmin': 41, 'xmax': 84, 'ymin': 75, 'ymax': 113, 'region_name': 1}}"
194,92,images (15)_grey.jpg,"{1: {'xmin': 108, 'xmax': 159, 'ymin': 31, 'ymax': 63, 'region_name': 1}}"
195,93,images (15)_grey_rot90.jpg,"{1: {'xmin': 175, 'xmax': 218, 'ymin': 81, 'ymax': 119, 'region_name': 1}}"
196,94,images (15)_grey_rot180.jpg,"{1: {'xmin': 100, 'xmax': 151, 'ymin': 131, 'ymax': 163, 'region_name': 1}}"
197,95,images (15)_grey_rot270.jpg,"{1: {'xmin': 41, 'xmax': 84, 'ymin': 75, 'ymax': 113, 'region_name': 1}}"
198,96,images (17)_darkened.jpg,"{1: {'xmin': 97, 'xmax': 138, 'ymin': 107, 'ymax': 135, 'region_name': 1}}"
199,97,images (17)_darkened_rot90.jpg,"{1: {'xmin': 80, 'xmax': 117, 'ymin': 74, 'ymax': 105, 'region_name': 1}}"
200,98,images (17)_darkened_rot180.jpg,"{1: {'xmin': 119, 'xmax': 160, 'ymin': 61, 'ymax': 89, 'region_name': 1}}"
201,99,images (17)_darkened_rot270.jpg,"{1: {'xmin': 140, 'xmax': 177, 'ymin': 91, 'ymax': 122, 'region_name': 1}}"
202,100,images (17)_grey.jpg,"{1: {'xmin': 97, 'xmax': 138, 'ymin': 107, 'ymax': 135, 'region_name': 1}}"
203,101,images (17)_grey_rot90.jpg,"{1: {'xmin': 80, 'xmax': 117, 'ymin': 74, 'ymax': 105, 'region_name': 1}}"
204,102,images (17)_grey_rot180.jpg,"{1: {'xmin': 119, 'xmax': 160, 'ymin': 61, 'ymax': 89, 'region_name': 1}}"
205,103,images (17)_grey_rot270.jpg,"{1: {'xmin': 140, 'xmax': 177, 'ymin': 91, 'ymax': 122, 'region_name': 1}}"
206,104,images (18)_darkened.jpg,"{1: {'xmin': 44, 'xmax': 62, 'ymin': 153, 'ymax': 168, 'region_name': 1}}"
207,105,images (18)_darkened_rot90.jpg,"{1: {'xmin': 35, 'xmax': 55, 'ymin': 33, 'ymax': 46, 'region_name': 1}}"
208,106,images (18)_darkened_rot180.jpg,"{1: {'xmin': 197, 'xmax': 215, 'ymin': 26, 'ymax': 41, 'region_name': 1}}"
209,107,images (18)_darkened_rot270.jpg,"{1: {'xmin': 204, 'xmax': 224, 'ymin': 148, 'ymax': 161, 'region_name': 1}}"
210,108,images (18)_grey.jpg,"{1: {'xmin': 44, 'xmax': 62, 'ymin': 153, 'ymax': 168, 'region_name': 1}}"
211,109,images (18)_grey_rot90.jpg,"{1: {'xmin': 35, 'xmax': 55, 'ymin': 33, 'ymax': 46, 'region_name': 1}}"
212,110,images (18)_grey_rot180.jpg,"{1: {'xmin': 197, 'xmax': 215, 'ymin': 26, 'ymax': 41, 'region_name': 1}}"
213,111,images (18)_grey_rot270.jpg,"{1: {'xmin': 204, 'xmax': 224, 'ymin': 148, 'ymax': 161, 'region_name': 1}}"
214,112,images (19)_darkened.jpg,"{1: {'xmin': 109, 'xmax': 154, 'ymin': 100, 'ymax': 121, 'region_name': 1}}"
215,113,images (19)_darkened_rot90.jpg,"{1: {'xmin': 98, 'xmax': 126, 'ymin': 82, 'ymax': 116, 'region_name': 1}}"
216,114,images (19)_darkened_rot180.jpg,"{1: {'xmin': 105, 'xmax': 150, 'ymin': 74, 'ymax': 95, 'region_name': 1}}"
217,115,images (19)_darkened_rot270.jpg,"{1: {'xmin': 133, 'xmax': 161, 'ymin': 79, 'ymax': 113, 'region_name': 1}}"
218,116,images (19)_grey.jpg,"{1: {'xmin': 109, 'xmax': 154, 'ymin': 100, 'ymax': 121, 'region_name': 1}}"
219,117,images (19)_grey_rot90.jpg,"{1: {'xmin': 98, 'xmax': 126, 'ymin': 82, 'ymax': 116, 'region_name': 1}}"
220,118,images (19)_grey_rot180.jpg,"{1: {'xmin': 105, 'xmax': 150, 'ymin': 74, 'ymax': 95, 'region_name': 1}}"
221,119,images (19)_grey_rot270.jpg,"{1: {'xmin': 133, 'xmax': 161, 'ymin': 79, 'ymax': 113, 'region_name': 1}}"
222,120,images (2)_darkened.jpg,"{1: {'xmin': 86, 'xmax': 163, 'ymin': 84, 'ymax': 126, 'region_name': 1}}"
223,121,images (2)_darkened_rot90.jpg,"{1: {'xmin': 91, 'xmax': 147, 'ymin': 64, 'ymax': 122, 'region_name': 1}}"
224,122,images (2)_darkened_rot180.jpg,"{1: {'xmin': 96, 'xmax': 173, 'ymin': 68, 'ymax': 110, 'region_name': 1}}"
225,123,images (2)_darkened_rot270.jpg,"{1: {'xmin': 112, 'xmax': 168, 'ymin': 72, 'ymax': 130, 'region_name': 1}}"
226,124,images (2)_grey.jpg,"{1: {'xmin': 86, 'xmax': 163, 'ymin': 84, 'ymax': 126, 'region_name': 1}}"
227,125,images (2)_grey_rot90.jpg,"{1: {'xmin': 91, 'xmax': 147, 'ymin': 64, 'ymax': 122, 'region_name': 1}}"
228,126,images (2)_grey_rot180.jpg,"{1: {'xmin': 96, 'xmax': 173, 'ymin': 68, 'ymax': 110, 'region_name': 1}}"
229,127,images (2)_grey_rot270.jpg,"{1: {'xmin': 112, 'xmax': 168, 'ymin': 72, 'ymax': 130, 'region_name': 1}}"
230,128,images (20)_darkened.jpg,"{1: {'xmin': 32, 'xmax': 46, 'ymin': 24, 'ymax': 36, 'region_name': 1}, 2: {'xmin': 94, 'xmax': 105, 'ymin': 48, 'ymax': 55, 'region_name': 1}, 3: {'xmin': 159, 'xmax': 177, 'ymin': 34, 'ymax': 45, 'region_name': 1}, 4: {'xmin': 227, 'xmax': 244, 'ymin': 46, 'ymax': 56, 'region_name': 1}, 5: {'xmin': 226, 'xmax': 242, 'ymin': 150, 'ymax': 159, 'region_name': 1}, 6: {'xmin': 172, 'xmax': 186, 'ymin': 140, 'ymax': 149, 'region_name': 1}, 7: {'xmin': 89, 'xmax': 108, 'ymin': 149, 'ymax': 160, 'region_name': 1}, 8: {'xmin': 25, 'xmax': 37, 'ymin': 131, 'ymax': 139, 'region_name': 1}}"
231,129,images (20)_darkened_rot90.jpg,"{1: {'xmin': 217, 'xmax': 234, 'ymin': 22, 'ymax': 32, 'region_name': 1}, 2: {'xmin': 190, 'xmax': 200, 'ymin': 66, 'ymax': 74, 'region_name': 1}, 3: {'xmin': 204, 'xmax': 220, 'ymin': 112, 'ymax': 124, 'region_name': 1}, 4: {'xmin': 188, 'xmax': 202, 'ymin': 159, 'ymax': 171, 'region_name': 1}, 5: {'xmin': 41, 'xmax': 54, 'ymin': 159, 'ymax': 170, 'region_name': 1}, 6: {'xmin': 56, 'xmax': 68, 'ymin': 121, 'ymax': 130, 'region_name': 1}, 7: {'xmin': 40, 'xmax': 56, 'ymin': 62, 'ymax': 76, 'region_name': 1}, 8: {'xmin': 70, 'xmax': 81, 'ymin': 18, 'ymax': 26, 'region_name': 1}}"
232,130,images (20)_darkened_rot180.jpg,"{1: {'xmin': 222, 'xmax': 236, 'ymin': 152, 'ymax': 164, 'region_name': 1}, 2: {'xmin': 163, 'xmax': 174, 'ymin': 133, 'ymax': 140, 'region_name': 1}, 3: {'xmin': 91, 'xmax': 109, 'ymin': 143, 'ymax': 154, 'region_name': 1}, 4: {'xmin': 24, 'xmax': 41, 'ymin': 132, 'ymax': 142, 'region_name': 1}, 5: {'xmin': 26, 'xmax': 42, 'ymin': 29, 'ymax': 38, 'region_name': 1}, 6: {'xmin': 82, 'xmax': 96, 'ymin': 39, 'ymax': 48, 'region_name': 1}, 7: {'xmin': 160, 'xmax': 179, 'ymin': 28, 'ymax': 39, 'region_name': 1}, 8: {'xmin': 231, 'xmax': 243, 'ymin': 49, 'ymax': 57, 'region_name': 1}}"
233,131,images (20)_darkened_rot270.jpg,"{1: {'xmin': 34, 'xmax': 51, 'ymin': 156, 'ymax': 166, 'region_name': 1}, 2: {'xmin': 68, 'xmax': 78, 'ymin': 114, 'ymax': 122, 'region_name': 1}, 3: {'xmin': 48, 'xmax': 64, 'ymin': 64, 'ymax': 76, 'region_name': 1}, 4: {'xmin': 66, 'xmax': 80, 'ymin': 17, 'ymax': 29, 'region_name': 1}, 5: {'xmin': 214, 'xmax': 227, 'ymin': 18, 'ymax': 29, 'region_name': 1}, 6: {'xmin': 200, 'xmax': 212, 'ymin': 58, 'ymax': 67, 'region_name': 1}, 7: {'xmin': 212, 'xmax': 228, 'ymin': 112, 'ymax': 126, 'region_name': 1}, 8: {'xmin': 187, 'xmax': 198, 'ymin': 162, 'ymax': 170, 'region_name': 1}}"
234,132,images (20)_grey.jpg,"{1: {'xmin': 32, 'xmax': 46, 'ymin': 24, 'ymax': 36, 'region_name': 1}, 2: {'xmin': 94, 'xmax': 105, 'ymin': 48, 'ymax': 55, 'region_name': 1}, 3: {'xmin': 159, 'xmax': 177, 'ymin': 34, 'ymax': 45, 'region_name': 1}, 4: {'xmin': 227, 'xmax': 244, 'ymin': 46, 'ymax': 56, 'region_name': 1}, 5: {'xmin': 226, 'xmax': 242, 'ymin': 150, 'ymax': 159, 'region_name': 1}, 6: {'xmin': 172, 'xmax': 186, 'ymin': 140, 'ymax': 149, 'region_name': 1}, 7: {'xmin': 89, 'xmax': 108, 'ymin': 149, 'ymax': 160, 'region_name': 1}, 8: {'xmin': 25, 'xmax': 37, 'ymin': 131, 'ymax': 139, 'region_name': 1}}"
235,133,images (20)_grey_rot90.jpg,"{1: {'xmin': 217, 'xmax': 234, 'ymin': 22, 'ymax': 32, 'region_name': 1}, 2: {'xmin': 190, 'xmax': 200, 'ymin': 66, 'ymax': 74, 'region_name': 1}, 3: {'xmin': 204, 'xmax': 220, 'ymin': 112, 'ymax': 124, 'region_name': 1}, 4: {'xmin': 188, 'xmax': 202, 'ymin': 159, 'ymax': 171, 'region_name': 1}, 5: {'xmin': 41, 'xmax': 54, 'ymin': 159, 'ymax': 170, 'region_name': 1}, 6: {'xmin': 56, 'xmax': 68, 'ymin': 121, 'ymax': 130, 'region_name': 1}, 7: {'xmin': 40, 'xmax': 56, 'ymin': 62, 'ymax': 76, 'region_name': 1}, 8: {'xmin': 70, 'xmax': 81, 'ymin': 18, 'ymax': 26, 'region_name': 1}}"
236,134,images (20)_grey_rot180.jpg,"{1: {'xmin': 222, 'xmax': 236, 'ymin': 152, 'ymax': 164, 'region_name': 1}, 2: {'xmin': 163, 'xmax': 174, 'ymin': 133, 'ymax': 140, 'region_name': 1}, 3: {'xmin': 91, 'xmax': 109, 'ymin': 143, 'ymax': 154, 'region_name': 1}, 4: {'xmin': 24, 'xmax': 41, 'ymin': 132, 'ymax': 142, 'region_name': 1}, 5: {'xmin': 26, 'xmax': 42, 'ymin': 29, 'ymax': 38, 'region_name': 1}, 6: {'xmin': 82, 'xmax': 96, 'ymin': 39, 'ymax': 48, 'region_name': 1}, 7: {'xmin': 160, 'xmax': 179, 'ymin': 28, 'ymax': 39, 'region_name': 1}, 8: {'xmin': 231, 'xmax': 243, 'ymin': 49, 'ymax': 57, 'region_name': 1}}"
237,135,images (20)_grey_rot270.jpg,"{1: {'xmin': 34, 'xmax': 51, 'ymin': 156, 'ymax': 166, 'region_name': 1}, 2: {'xmin': 68, 'xmax': 78, 'ymin': 114, 'ymax': 122, 'region_name': 1}, 3: {'xmin': 48, 'xmax': 64, 'ymin': 64, 'ymax': 76, 'region_name': 1}, 4: {'xmin': 66, 'xmax': 80, 'ymin': 17, 'ymax': 29, 'region_name': 1}, 5: {'xmin': 214, 'xmax': 227, 'ymin': 18, 'ymax': 29, 'region_name': 1}, 6: {'xmin': 200, 'xmax': 212, 'ymin': 58, 'ymax': 67, 'region_name': 1}, 7: {'xmin': 212, 'xmax': 228, 'ymin': 112, 'ymax': 126, 'region_name': 1}, 8: {'xmin': 187, 'xmax': 198, 'ymin': 162, 'ymax': 170, 'region_name': 1}}"
238,136,images (21)_darkened.jpg,"{1: {'xmin': 128, 'xmax': 154, 'ymin': 64, 'ymax': 79, 'region_name': 1}, 2: {'xmin': 125, 'xmax': 156, 'ymin': 161, 'ymax': 181, 'region_name': 1}}"
239,137,images (21)_darkened_rot90.jpg,"{1: {'xmin': 146, 'xmax': 161, 'ymin': 128, 'ymax': 154, 'region_name': 1}, 2: {'xmin': 44, 'xmax': 64, 'ymin': 125, 'ymax': 156, 'region_name': 1}}"
240,138,images (21)_darkened_rot180.jpg,"{1: {'xmin': 71, 'xmax': 97, 'ymin': 146, 'ymax': 161, 'region_name': 1}, 2: {'xmin': 69, 'xmax': 100, 'ymin': 44, 'ymax': 64, 'region_name': 1}}"
241,139,images (21)_darkened_rot270.jpg,"{1: {'xmin': 64, 'xmax': 79, 'ymin': 71, 'ymax': 97, 'region_name': 1}, 2: {'xmin': 161, 'xmax': 181, 'ymin': 69, 'ymax': 100, 'region_name': 1}}"
242,140,images (21)_grey.jpg,"{1: {'xmin': 128, 'xmax': 154, 'ymin': 64, 'ymax': 79, 'region_name': 1}, 2: {'xmin': 125, 'xmax': 156, 'ymin': 161, 'ymax': 181, 'region_name': 1}}"
243,141,images (21)_grey_rot90.jpg,"{1: {'xmin': 146, 'xmax': 161, 'ymin': 128, 'ymax': 154, 'region_name': 1}, 2: {'xmin': 44, 'xmax': 64, 'ymin': 125, 'ymax': 156, 'region_name': 1}}"
244,142,images (21)_grey_rot180.jpg,"{1: {'xmin': 71, 'xmax': 97, 'ymin': 146, 'ymax': 161, 'region_name': 1}, 2: {'xmin': 69, 'xmax': 100, 'ymin': 44, 'ymax': 64, 'region_name': 1}}"
245,143,images (21)_grey_rot270.jpg,"{1: {'xmin': 64, 'xmax': 79, 'ymin': 71, 'ymax': 97, 'region_name': 1}, 2: {'xmin': 161, 'xmax': 181, 'ymin': 69, 'ymax': 100, 'region_name': 1}}"
246,144,images (22)_darkened.jpg,"{1: {'xmin': 70, 'xmax': 102, 'ymin': 138, 'ymax': 160, 'region_name': 1}, 2: {'xmin': 174, 'xmax': 187, 'ymin': 48, 'ymax': 56, 'region_name': 1}}"
247,145,images (22)_darkened_rot90.jpg,"{1: {'xmin': 35, 'xmax': 68, 'ymin': 47, 'ymax': 68, 'region_name': 1}, 2: {'xmin': 191, 'xmax': 203, 'ymin': 116, 'ymax': 124, 'region_name': 1}}"
248,146,images (22)_darkened_rot180.jpg,"{1: {'xmin': 173, 'xmax': 205, 'ymin': 23, 'ymax': 45, 'region_name': 1}, 2: {'xmin': 88, 'xmax': 101, 'ymin': 127, 'ymax': 135, 'region_name': 1}}"
249,147,images (22)_darkened_rot270.jpg,"{1: {'xmin': 207, 'xmax': 240, 'ymin': 115, 'ymax': 136, 'region_name': 1}, 2: {'xmin': 72, 'xmax': 84, 'ymin': 59, 'ymax': 67, 'region_name': 1}}"
250,148,images (22)_grey.jpg,"{1: {'xmin': 70, 'xmax': 102, 'ymin': 138, 'ymax': 160, 'region_name': 1}, 2: {'xmin': 174, 'xmax': 187, 'ymin': 48, 'ymax': 56, 'region_name': 1}}"
251,149,images (22)_grey_rot90.jpg,"{1: {'xmin': 35, 'xmax': 68, 'ymin': 47, 'ymax': 68, 'region_name': 1}, 2: {'xmin': 191, 'xmax': 203, 'ymin': 116, 'ymax': 124, 'region_name': 1}}"
252,150,images (22)_grey_rot180.jpg,"{1: {'xmin': 173, 'xmax': 205, 'ymin': 23, 'ymax': 45, 'region_name': 1}, 2: {'xmin': 88, 'xmax': 101, 'ymin': 127, 'ymax': 135, 'region_name': 1}}"
253,151,images (22)_grey_rot270.jpg,"{1: {'xmin': 207, 'xmax': 240, 'ymin': 115, 'ymax': 136, 'region_name': 1}, 2: {'xmin': 72, 'xmax': 84, 'ymin': 59, 'ymax': 67, 'region_name': 1}}"
254,152,images (23)_darkened.jpg,"{1: {'xmin': 122, 'xmax': 159, 'ymin': 96, 'ymax': 116, 'region_name': 1}}"
255,153,images (23)_darkened_rot90.jpg,"{1: {'xmin': 99, 'xmax': 130, 'ymin': 78, 'ymax': 101, 'region_name': 1}}"
256,154,images (23)_darkened_rot180.jpg,"{1: {'xmin': 122, 'xmax': 159, 'ymin': 63, 'ymax': 83, 'region_name': 1}}"
257,155,images (23)_darkened_rot270.jpg,"{1: {'xmin': 151, 'xmax': 182, 'ymin': 78, 'ymax': 101, 'region_name': 1}}"
258,156,images (23)_grey.jpg,"{1: {'xmin': 122, 'xmax': 159, 'ymin': 96, 'ymax': 116, 'region_name': 1}}"
259,157,images (23)_grey_rot90.jpg,"{1: {'xmin': 99, 'xmax': 130, 'ymin': 78, 'ymax': 101, 'region_name': 1}}"
260,158,images (23)_grey_rot180.jpg,"{1: {'xmin': 122, 'xmax': 159, 'ymin': 63, 'ymax': 83, 'region_name': 1}}"
261,159,images (23)_grey_rot270.jpg,"{1: {'xmin': 151, 'xmax': 182, 'ymin': 78, 'ymax': 101, 'region_name': 1}}"
262,160,images (24)_darkened.jpg,"{1: {'xmin': 124, 'xmax': 179, 'ymin': 77, 'ymax': 104, 'region_name': 1}}"
263,161,images (24)_darkened_rot90.jpg,"{1: {'xmin': 114, 'xmax': 162, 'ymin': 69, 'ymax': 100, 'region_name': 1}}"
264,162,images (24)_darkened_rot180.jpg,"{1: {'xmin': 121, 'xmax': 176, 'ymin': 64, 'ymax': 91, 'region_name': 1}}"
265,163,images (24)_darkened_rot270.jpg,"{1: {'xmin': 138, 'xmax': 186, 'ymin': 68, 'ymax': 99, 'region_name': 1}}"
266,164,images (24)_grey.jpg,"{1: {'xmin': 124, 'xmax': 179, 'ymin': 77, 'ymax': 104, 'region_name': 1}}"
267,165,images (24)_grey_rot90.jpg,"{1: {'xmin': 114, 'xmax': 162, 'ymin': 69, 'ymax': 100, 'region_name': 1}}"
268,166,images (24)_grey_rot180.jpg,"{1: {'xmin': 121, 'xmax': 176, 'ymin': 64, 'ymax': 91, 'region_name': 1}}"
269,167,images (24)_grey_rot270.jpg,"{1: {'xmin': 138, 'xmax': 186, 'ymin': 68, 'ymax': 99, 'region_name': 1}}"
270,168,images (25)_darkened.jpg,"{1: {'xmin': 171, 'xmax': 186, 'ymin': 72, 'ymax': 81, 'region_name': 1}}"
271,169,images (25)_darkened_rot90.jpg,"{1: {'xmin': 154, 'xmax': 167, 'ymin': 113, 'ymax': 123, 'region_name': 1}}"
272,170,images (25)_darkened_rot180.jpg,"{1: {'xmin': 90, 'xmax': 105, 'ymin': 102, 'ymax': 111, 'region_name': 1}}"
273,171,images (25)_darkened_rot270.jpg,"{1: {'xmin': 109, 'xmax': 122, 'ymin': 60, 'ymax': 70, 'region_name': 1}}"
274,172,images (25)_grey.jpg,"{1: {'xmin': 171, 'xmax': 186, 'ymin': 72, 'ymax': 81, 'region_name': 1}}"
275,173,images (25)_grey_rot90.jpg,"{1: {'xmin': 154, 'xmax': 167, 'ymin': 113, 'ymax': 123, 'region_name': 1}}"
276,174,images (25)_grey_rot180.jpg,"{1: {'xmin': 90, 'xmax': 105, 'ymin': 102, 'ymax': 111, 'region_name': 1}}"
277,175,images (25)_grey_rot270.jpg,"{1: {'xmin': 109, 'xmax': 122, 'ymin': 60, 'ymax': 70, 'region_name': 1}}"
278,176,images (26)_darkened.jpg,"{1: {'xmin': 178, 'xmax': 216, 'ymin': 175, 'ymax': 194, 'region_name': 1}}"
279,177,images (26)_darkened_rot90.jpg,"{1: {'xmin': 31, 'xmax': 50, 'ymin': 178, 'ymax': 216, 'region_name': 1}}"
280,178,images (26)_darkened_rot180.jpg,"{1: {'xmin': 9, 'xmax': 47, 'ymin': 31, 'ymax': 50, 'region_name': 1}}"
281,179,images (26)_darkened_rot270.jpg,"{1: {'xmin': 175, 'xmax': 194, 'ymin': 9, 'ymax': 47, 'region_name': 1}}"
282,180,images (26)_grey.jpg,"{1: {'xmin': 178, 'xmax': 216, 'ymin': 175, 'ymax': 194, 'region_name': 1}}"
283,181,images (26)_grey_rot90.jpg,"{1: {'xmin': 31, 'xmax': 50, 'ymin': 178, 'ymax': 216, 'region_name': 1}}"
284,182,images (26)_grey_rot180.jpg,"{1: {'xmin': 9, 'xmax': 47, 'ymin': 31, 'ymax': 50, 'region_name': 1}}"
285,183,images (26)_grey_rot270.jpg,"{1: {'xmin': 175, 'xmax': 194, 'ymin': 9, 'ymax': 47, 'region_name': 1}}"
286,184,images (27)_darkened.jpg,"{1: {'xmin': 219, 'xmax': 237, 'ymin': 140, 'ymax': 150, 'region_name': 1}}"
287,185,images (27)_darkened_rot90.jpg,"{1: {'xmin': 32, 'xmax': 50, 'ymin': 123, 'ymax': 133, 'region_name': 1}}"
288,186,images (27)_darkened_rot180.jpg,"{1: {'xmin': 63, 'xmax': 81, 'ymin': 18, 'ymax': 28, 'region_name': 1}}"
289,187,images (27)_darkened_rot270.jpg,"{1: {'xmin': 250, 'xmax': 268, 'ymin': 35, 'ymax': 45, 'region_name': 1}}"
290,188,images (27)_grey.jpg,"{1: {'xmin': 219, 'xmax': 237, 'ymin': 140, 'ymax': 150, 'region_name': 1}}"
291,189,images (27)_grey_rot90.jpg,"{1: {'xmin': 32, 'xmax': 50, 'ymin': 123, 'ymax': 133, 'region_name': 1}}"
292,190,images (27)_grey_rot180.jpg,"{1: {'xmin': 63, 'xmax': 81, 'ymin': 18, 'ymax': 28, 'region_name': 1}}"
293,191,images (27)_grey_rot270.jpg,"{1: {'xmin': 250, 'xmax': 268, 'ymin': 35, 'ymax': 45, 'region_name': 1}}"
294,192,images (28)_darkened.jpg,"{1: {'xmin': 82, 'xmax': 113, 'ymin': 111, 'ymax': 127, 'region_name': 1}}"
295,193,images (28)_darkened_rot90.jpg,"{1: {'xmin': 97, 'xmax': 113, 'ymin': 79, 'ymax': 110, 'region_name': 1}}"
296,194,images (28)_darkened_rot180.jpg,"{1: {'xmin': 115, 'xmax': 146, 'ymin': 94, 'ymax': 110, 'region_name': 1}}"
297,195,images (28)_darkened_rot270.jpg,"{1: {'xmin': 115, 'xmax': 131, 'ymin': 111, 'ymax': 142, 'region_name': 1}}"
298,196,images (28)_grey.jpg,"{1: {'xmin': 82, 'xmax': 113, 'ymin': 111, 'ymax': 127, 'region_name': 1}}"
299,197,images (28)_grey_rot90.jpg,"{1: {'xmin': 97, 'xmax': 113, 'ymin': 79, 'ymax': 110, 'region_name': 1}}"
300,198,images (28)_grey_rot180.jpg,"{1: {'xmin': 115, 'xmax': 146, 'ymin': 94, 'ymax': 110, 'region_name': 1}}"
301,199,images (28)_grey_rot270.jpg,"{1: {'xmin': 115, 'xmax': 131, 'ymin': 111, 'ymax': 142, 'region_name': 1}}"
302,200,images (29)_darkened.jpg,"{1: {'xmin': 116, 'xmax': 149, 'ymin': 128, 'ymax': 145, 'region_name': 1}, 2: {'xmin': 31, 'xmax': 44, 'ymin': 95, 'ymax': 102, 'region_name': 1}, 3: {'xmin': 228, 'xmax': 239, 'ymin': 99, 'ymax': 107, 'region_name': 1}}"
303,201,images (29)_darkened_rot90.jpg,"{1: {'xmin': 65, 'xmax': 88, 'ymin': 87, 'ymax': 112, 'region_name': 1}, 2: {'xmin': 123, 'xmax': 132, 'ymin': 23, 'ymax': 33, 'region_name': 1}, 3: {'xmin': 116, 'xmax': 127, 'ymin': 171, 'ymax': 179, 'region_name': 1}}"
304,202,images (29)_darkened_rot180.jpg,"{1: {'xmin': 110, 'xmax': 143, 'ymin': 49, 'ymax': 66, 'region_name': 1}, 2: {'xmin': 215, 'xmax': 228, 'ymin': 92, 'ymax': 99, 'region_name': 1}, 3: {'xmin': 20, 'xmax': 31, 'ymin': 87, 'ymax': 95, 'region_name': 1}}"
305,203,images (29)_darkened_rot270.jpg,"{1: {'xmin': 171, 'xmax': 194, 'ymin': 82, 'ymax': 107, 'region_name': 1}, 2: {'xmin': 127, 'xmax': 136, 'ymin': 161, 'ymax': 171, 'region_name': 1}, 3: {'xmin': 132, 'xmax': 143, 'ymin': 15, 'ymax': 23, 'region_name': 1}}"
306,204,images (29)_grey.jpg,"{1: {'xmin': 116, 'xmax': 149, 'ymin': 128, 'ymax': 145, 'region_name': 1}, 2: {'xmin': 31, 'xmax': 44, 'ymin': 95, 'ymax': 102, 'region_name': 1}, 3: {'xmin': 228, 'xmax': 239, 'ymin': 99, 'ymax': 107, 'region_name': 1}}"
307,205,images (29)_grey_rot90.jpg,"{1: {'xmin': 65, 'xmax': 88, 'ymin': 87, 'ymax': 112, 'region_name': 1}, 2: {'xmin': 123, 'xmax': 132, 'ymin': 23, 'ymax': 33, 'region_name': 1}, 3: {'xmin': 116, 'xmax': 127, 'ymin': 171, 'ymax': 179, 'region_name': 1}}"
308,206,images (29)_grey_rot180.jpg,"{1: {'xmin': 110, 'xmax': 143, 'ymin': 49, 'ymax': 66, 'region_name': 1}, 2: {'xmin': 215, 'xmax': 228, 'ymin': 92, 'ymax': 99, 'region_name': 1}, 3: {'xmin': 20, 'xmax': 31, 'ymin': 87, 'ymax': 95, 'region_name': 1}}"
309,207,images (29)_grey_rot270.jpg,"{1: {'xmin': 171, 'xmax': 194, 'ymin': 82, 'ymax': 107, 'region_name': 1}, 2: {'xmin': 127, 'xmax': 136, 'ymin': 161, 'ymax': 171, 'region_name': 1}, 3: {'xmin': 132, 'xmax': 143, 'ymin': 15, 'ymax': 23, 'region_name': 1}}"
310,208,images (3)_darkened.jpg,"{1: {'xmin': 127, 'xmax': 167, 'ymin': 86, 'ymax': 111, 'region_name': 1}, 2: {'xmin': 13, 'xmax': 31, 'ymin': 64, 'ymax': 77, 'region_name': 1}}"
311,209,images (3)_darkened_rot90.jpg,"{1: {'xmin': 111, 'xmax': 144, 'ymin': 95, 'ymax': 125, 'region_name': 1}, 2: {'xmin': 156, 'xmax': 174, 'ymin': 10, 'ymax': 23, 'region_name': 1}}"
312,210,images (3)_darkened_rot180.jpg,"{1: {'xmin': 92, 'xmax': 132, 'ymin': 83, 'ymax': 108, 'region_name': 1}, 2: {'xmin': 228, 'xmax': 246, 'ymin': 117, 'ymax': 130, 'region_name': 1}}"
313,211,images (3)_darkened_rot270.jpg,"{1: {'xmin': 115, 'xmax': 148, 'ymin': 69, 'ymax': 99, 'region_name': 1}, 2: {'xmin': 85, 'xmax': 103, 'ymin': 171, 'ymax': 184, 'region_name': 1}}"
314,212,images (3)_grey.jpg,"{1: {'xmin': 127, 'xmax': 167, 'ymin': 86, 'ymax': 111, 'region_name': 1}, 2: {'xmin': 13, 'xmax': 31, 'ymin': 64, 'ymax': 77, 'region_name': 1}}"
315,213,images (3)_grey_rot90.jpg,"{1: {'xmin': 111, 'xmax': 144, 'ymin': 95, 'ymax': 125, 'region_name': 1}, 2: {'xmin': 156, 'xmax': 174, 'ymin': 10, 'ymax': 23, 'region_name': 1}}"
